Sno.,App.No.,Geographical Indications,Status,Goods,State
0087,0669,Nagri Dubraj,Registered,Agricultural,Chhattisgarh
0088,0082,Bastar Iron Craft,Registered,Handicraft,Chhattisgarh
0089,0083,Bastar Dhokra,Registered,Handicraft,Chhattisgarh
0090,0084,Bastar Wooden Craft,Registered,Handicraft,Chhattisgarh
0091,0172,Champa Silk Saree And Fabrics,Registered,Handicraft,Chhattisgarh
0092,0387,Bastar Dhokra (Logo),Registered,Handicraft,Chhattisgarh
0093,0618,Khola Chilli,Registered,Agricultural,Goa
0094,0642,Harmal Chilli,Registered,Agricultural,Goa
0095,0680,Myndoli Banana,Registered,Agricultural,Goa
0096,0714,Goa Cashew (Kaju Or Caju),Registered,Agricultural,Goa
0097,0763,Agsechi Vayingim (Agassaim Brinjal),Registered,Agricultural,Goa
0098,0790,Sat Shiro Bheno (Sat Shirancho Bhendo),Registered,Agricultural,Goa
0099,0728,Goa Mankurad Mango,Registered,Agricultural,Goa
0100,0120,Feni,Registered,Manufactured,Goa
0101,0655,Goan Khaje,Registered,Food Stuff,Goa
0102,0746,Goan Bebinca,Registered,Food Stuff,Goa
0103,0185,Gir Kesar Mango,Registered,Agricultural,Gujarat
0104,0192,Bhalia Wheat,Registered,Agricultural,Gujarat
0105,0761,Kachchhi Kharek,Registered,Agricultural,Gujarat
0106,0100,Sankheda Furniture,Registered,Handicraft,Gujarat
0107,0101,Agates of Cambay,Registered,Handicraft,Gujarat
0108,0103,Kutch Embroidery,Registered,Handicraft,Gujarat
0109,0127,Tangaliya Shawl,Registered,Handicraft,Gujarat
0110,0171,Surat Zari Craft,Registered,Handicraft,Gujarat
0111,0174,Kachchh Shawls,Registered,Handicraft,Gujarat
0112,0221,Jamnagari Bandhani,Registered,Handicraft,Gujarat
0113,0232,Patan Patola,Registered,Handicraft,Gujarat
0114,0380,RajKot Patola,Registered,Handicraft,Gujarat
0115,0507,Sankheda Furniture (Logo),Registered,Handicraft,Gujarat
0116,0508,Agates of Cambay (Logo),Registered,Handicraft,Gujarat
0117,0509,Kutch Embroidery (Logo),Registered,Handicraft,Gujarat
0118,0585,Pethapur Printing Blocks,Registered,Handicraft,Gujarat
0119,0644,Pithora,Registered,Handicraft,Gujarat
0120,0694,Mata ni Pachhedi,Registered,Handicraft,Gujarat
0121,0718,Kutch Rogan Craft,Registered,Handicraft,Gujarat
0122,0756,Kutch Bandhani,Registered,Handicraft,Gujarat
0123,0838,Gharchola Craft of Gujarat,Registered,Handicraft,Gujarat
0124,0997,Gujarat Suf Embroidery,Registered,Handicraft,Gujarat
0125,1063,Ahmedabad Sodagari Block Print,Registered,Handicraft,Gujarat
0126,1064,Surat Sadeli Craft,Registered,Handicraft,Gujarat
0127,1090,Bharuch Sujani Weaving,Registered,Handicraft,Gujarat
0128,1050,Kutch Ajrakh,Registered,Handicraft,Gujarat
0129,1114,Ambaji White Marble,Registered,Natural,Gujarat
0130,0025,Kangra Tea,Registered,Agricultural,Himachal Pradesh
0131,0432,Himachali Kala Zeera,Registered,Agricultural,Himachal Pradesh
0132,0019,Kullu Shawl,Registered,Handicraft,Himachal Pradesh
0133,0079,Chamba Rumal,Registered,Handicraft,Himachal Pradesh
0134,0149,Kinnauri Shawl,Registered,Handicraft,Himachal Pradesh
0135,381 & 413,Kangra Paintings,Registered,Handicraft,Himachal Pradesh
0136,0383,Kullu Shawl (Logo),Registered,Handicraft,Himachal Pradesh
0137,0614,Chamba Chappal,Registered,Handicraft,Himachal Pradesh
0138,0647,Lahauli Knitted Socks & Gloves,Registered,Handicraft,Himachal Pradesh
0139,0468,Himachali Chulli Oil,Registered,Manufactured,Himachal Pradesh
0140,0169,Kolhapuri Chappal,Registered,Handicraft,India (Karnataka & Maharashtra)
0141,0072,Alleppey Green Cardamom,Registered,Agricultural,"India
(Kerala & Tamilnadu)"
0142,49 & 56,Malabar Pepper,Registered,Agricultural,"India (Kerala, Karnataka &
Tamilnadu)"
0143,0385,Nagpur Orange,Registered,Agricultural,"India (Maharashtra & Madhya
Pradesh)"
0144,0401,Mahoba Desawari Pan,Registered,Agricultural,"India
(Uttar Pradesh & Madhya Pradesh)"
0145,0819,Bundelkhand Kathiya Gehu (Whea,Registered,Agriculture,"India
(Uttar pradesh and madhya pradesh)"
0146,0602,Chak - Hao,Registered,Agricultural,India (Manipur & Nagaland)
