Sno.,App.No.,Geographical Indications,Status,Goods,State
0379,0628,Sojat Mehndi,Registered,Agricultural,Rajasthan
0380,0012,Kota Doria,Registered,Handicraft,Rajasthan
0381,0066,Blue Pottery of Jaipur,Registered,Handicraft,Rajasthan
0382,0067,Molela Clay Work,Registered,Handicraft,Rajasthan
0383,0068,Kathputlis of Rajasthan,Registered,Handicraft,Rajasthan
0384,0147,Sanganeri Hand Block Printing,Registered,Handicraft,Rajasthan
0385,0183,Bagru Hand Block Print,Registered,Handicraft,Rajasthan
0386,0191,Kota Doria (Logo),Registered,Handicraft,Rajasthan
0387,0244,Thewa Art Work,Registered,Handicraft,Rajasthan
0388,0519,Pokaran Pottery,Registered,Handicraft,Rajasthan
0389,0539,Molela Clay Work  of Rajasthan (Logo),Registered,Handicraft,Rajasthan
0390,0540,Blue Pottery of Jaipur (Logo),Registered,Handicraft,Rajasthan
0391,0541,Kathputlis of Rajasthan (Logo),Registered,Handicraft,Rajasthan
0392,0748,Nathdwara Pichhwai Painting,Registered,Handicraft,Rajasthan
0393,0747,Udaipur Koftgari Metal Craft,Registered,Handicraft,Rajasthan
0394,0750,Bikaner Kashidakari Craft,Registered,Handicraft,Rajasthan
0395,0751,Jodhpur Bandhej Craft,Registered,Handicraft,Rajasthan
0396,0753,Bikaner Usta Kala Craft,Registered,Handicraft,Rajasthan
0397,0405,Makrana Marble,Registered,Natural,Rajasthan
0398,0376,Sikkim Large Cardamom,Registered,Agricultural,Sikkim
0399,0110,Eathomozhy Tall Coconut,Registered,Agricultural,Tamil Nadu
0400,116 &117,Nilgiri (Orthodox) Logo,Registered,Agricultural,Tamil Nadu
0401,0124,Virupakshi Hill Banana,Registered,Agricultural,Tamil Nadu
0402,0126,Sirumalai Hill Banana,Registered,Agricultural,Tamil Nadu
0403,0231,Erode Manjal (Erode Turmeric),Registered,Agricultural,Tamil Nadu
0404,0238,Madurai Malli,Registered,Agricultural,Tamil Nadu
0405,0616,Kodaikanal Malai Poondu,Registered,Agricultural,Tamil Nadu
0406,0675,Kanniyakumari Clove,Registered,Agricultural,Tamil Nadu
0407,0720,Ramnathapuram Mundu Chilli,Registered,Agricultural,Tamil Nadu
0408,0788,Vellore Spiny Brinjal,Registered,Agricultural,Tamil Nadu
0409,0719,Authoor Vetrilai,Registered,Agricultural,Tamil Nadu
0410,0734,Cumbum Panneer Thratchai,Registered,Agricultural,Tamil Nadu
0411,0789,Sholavandan Vetrilai,Registered,Agricultural,Tamil Nadu
0412,0757,Kanyakumari Matti Banana,Registered,Agricultural,Tamil Nadu
0413,0403,Srivilliputtur Palkova,Registered,Food Stuff,Tamil Nadu
0414,0486,Kovilpatti Kadalai Mittai,Registered,Food Stuff,Tamil Nadu
0415,0550,Palani Panchamirtham,Registered,Food Stuff,Tamil Nadu
0416,0488,Manapparai Murukku,Registered,Food Stuff,Tamil Nadu
0417,0529,Ooty Varkey,Registered,Food Stuff,Tamil Nadu
0418,0691,Udangudi Panangkarupatti,Registered,Food Stuff,Tamil Nadu
0419,0711,Salem Sago (Javvarisi),Registered,Food Stuff,Tamil Nadu
0420,0800,Marthandam Honey,Registered,Food Stuff,Tamil Nadu
0421,0005,Salem Fabric,Registered,Handicraft,Tamil Nadu
0422,0015,Kancheepuram Silk,Registered,Handicraft,Tamil Nadu
0423,0016,Bhavani Jamakkalam,Registered,Handicraft,Tamil Nadu
0424,0021,Madurai Sungudi,Registered,Handicraft,Tamil Nadu
0425,0047,Thanjavur Painting,Registered,Handicraft,Tamil Nadu
0426,0063,Thanjavur Art Plate,Registered,Handicraft,Tamil Nadu
0427,0064,Swamimalai Bronze Icons,Registered,Handicraft,Tamil Nadu
0428,0065,Temple Jewellery of Nagercoil,Registered,Handicraft,Tamil Nadu
0429,0092,Arani Silk,Registered,Handicraft,Tamil Nadu
0430,0093,Kovai Kora Cotton Sarees,Registered,Handicraft,Tamil Nadu
0431,0094,Salem Silk know as Salem Venpattu,Registered,Handicraft,Tamil Nadu
0432,0096,Thanjavur Doll,Registered,Handicraft,Tamil Nadu
0433,0135,Toda Embroidery,Registered,Handicraft,Tamil Nadu
0434,0195,Pattamadai Pai ("Pattamadai Mat"),Registered,Handicraft,Tamil Nadu
0435,0196,Nachiarkoil Kuthuvilakku ("Nachiarkoil Lamp"),Registered,Handicraft,Tamil Nadu
0436,0200,Chettinad Kottan,Registered,Handicraft,Tamil Nadu
0437,0209,Thanjavur Veenai,Registered,Handicraft,Tamil Nadu
0438,0422,Kandangi Saree,Registered,Handicraft,Tamil Nadu
0439,0423,Thanjavur Netti Works,Registered,Handicraft,Tamil Nadu
0440,0426,Mahabalipuram Stone Sculpture,Registered,Handicraft,Tamil Nadu
0441,0429,Arumbavur Wood Carvings,Registered,Handicraft,Tamil Nadu
0442,0480,Thirubuvanam Silk Sarees,Registered,Handicraft,Tamil Nadu
0443,0513,Thanjavur Art Plate (Logo),Registered,Handicraft,Tamil Nadu
0444,0514,Swamimalai Bronze Icons (Logo),Registered,Handicraft,Tamil Nadu
0445,0515,Temple Jewellery of Nagercoil (Logo),Registered,Handicraft,Tamil Nadu
0446,0424,Karuppur Kalamkari Paintings,Registered,Handicraft,Tamil Nadu
0447,0431,Kallakurichi Wood Carving,Registered,Handicraft,Tamil Nadu
0448,0467,Narasinghapettai Nagaswaram,Registered,Handicraft,Tamil Nadu
0449,0400,Dindigul Locks,Registered,Handicraft,Tamil Nadu
0450,0428,Myladi Stone Carvings,Registered,Handicraft,Tamil Nadu
0451,0561,Manamadurai Pottery,Registered,Handicraft,Tamil Nadu
0452,0574,Thaikkal Rattan Craft,Registered,Handicraft,Tamil Nadu
0453,0698,Jaderi Namakatti,Registered,Handicraft,Tamil Nadu
0454,0766,Negamam Cotton Saree,Registered,Handicraft,Tamil Nadu
0455,0762,Chedibutta Saree,Registered,Handicraft,Tamil Nadu
0456,0026,Coimbatore Wet Grinder,Registered,Manufactured,Tamil Nadu
0457,0095,East India Leather,Registered,Manufactured,Tamil Nadu
0458,0706,Tandur Redgram,Registered,Agricultural,Telangana
0459,0193,Hyderabad Haleem,Registered,Food Stuff,Telangana
0460,0004,Pochampally Ikat,Registered,Handicraft,Telangana
0461,0053,Silver Filigree of Karimnagar,Registered,Handicraft,Telangana
0462,0091,Nirmal Toys and Craft,Registered,Handicraft,Telangana
0463,0105,Nirmal Furniture,Registered,Handicraft,Telangana
0464,0106,Nirmal Paintings,Registered,Handicraft,Telangana
0465,0137,Gadwal Sarees,Registered,Handicraft,Telangana
0466,0188,Siddipet Gollabama,Registered,Handicraft,Telangana
0467,0190,Cheriyal Paintings,Registered,Handicraft,Telangana
0468,0194,Pembarthi Metal Craft,Registered,Handicraft,Telangana
0469,0214,Narayanpet Handloom Sarees,Registered,Handicraft,Telangana
0470,0521,Adilabad Dokra,Registered,Handicraft,Telangana
0471,0523,Warangal Durries,Registered,Handicraft,Telangana
0472,0562,Pochampally Ikat (Logo),Registered,Handicraft,Telangana
0473,0599,Telia Rumal,Registered,Handicraft,Telangana
0474,0917,Hyderabad Lac Bangles,Registered,Handicraft,Telangana
0475,0436,Tripura Queen Pineapple,Registered,Agricultural,Tripura
0476,0893,Tripura Risa Textile,Registered,Handicraft,Tripura
0477,1071,Tripura Pachra-Rignai Textile,Registered,Handicraft,Tripura
0478,1072,Tripura Matabari Peda (Sweet),Registered,Food stuff,Tripura
0479,0050,Allahabad Surkha Guava,Registered,Agricultural,Uttar Pradesh
0480,0125,Mango Malihabadi Dusseheri,Registered,Agricultural,Uttar Pradesh
0481,0205,Kalanamak Rice,Registered,Agricultural,Uttar Pradesh
0482,0206,Rataul Mango,Registered,Agricultural,Uttar Pradesh
0483,0715,Adamchini Chawal,Registered,Agricultural,Uttar Pradesh
0484,0668,Pratapgarh Aonla,Registered,Agricultural,Uttar Pradesh
0485,0716,Banaras Langda Aam (Mango),Registered,Agricultural,Uttar Pradesh
0486,0717,Ramnagar Bhanta (Brinjal),Registered,Agricultural,Uttar Pradesh
0487,0730,Banaras Pan (Betel Leaf),Registered,Agricultural,Uttar Pradesh
0488,0823,Banaras Lal Bharwamirch,Registered,Agriculture,Uttar pradesh
0489,0833,Chiraigaon Karonda of Varanasi,Registered,Agriculture,Uttar pradesh
0490,0672,Hathras Hing,Registered,Food Stuff,Uttar Pradesh
0491,0723,Muzaffarnagar Gur (Jaggery),Registered,Food Stuff,Uttar Pradesh
0492,0859,Banaras Lal Peda,Registered,Food stuff,Uttar pradesh
0493,0999,Jaunpur Imarti,Registered,Food stuff,Uttar pradesh
0494,1000,Banaras Thandai,Registered,Food stuff,Uttar pradesh
0495,0941,Banaras Tirangi Barfi,Registered,Food stuff,Uttar pradesh
0496,0099,Banaras Brocades And Sarees,Registered,Handicraft,Uttar Pradesh
0497,0119,Lucknow Chikan Craft,Registered,Handicraft,Uttar Pradesh
0498,0148,Hand Made Carpet of Bhadohi,Registered,Handicraft,Uttar Pradesh
0499,155 & 156,Firozabad Glass (Logo),Registered,Handicraft,Uttar Pradesh
0500,159 & 160,Kanpur Saddlery (Logo),Registered,Handicraft,Uttar Pradesh
0501,161 & 162,Moradabad Metal Craft (Logo),Registered,Handicraft,Uttar Pradesh
0502,0177,Varanasi Glass Beads,Registered,Handicraft,Uttar Pradesh
0503,0178,Khurja Pottery,Registered,Handicraft,Uttar Pradesh
0504,0184,Saharanpur Wood Craft,Registered,Handicraft,Uttar Pradesh
0505,0233,Agra Durrie,Registered,Handicraft,Uttar Pradesh
0506,0234,Farrukhabad Prints,Registered,Handicraft,Uttar Pradesh
0507,0236,Lucknow Zardozi,Registered,Handicraft,Uttar Pradesh
0508,0237,Banaras Brocades And Sarees (Logo),Registered,Handicraft,Uttar Pradesh
0509,0397,Banaras Gulabi Meenakari Craft,Registered,Handicraft,Uttar Pradesh
0510,0398,Banaras Metal Repouse Craft,Registered,Handicraft,Uttar Pradesh
0511,0457,Varanasi Wooden Lacquerware & Toys,Registered,Handicraft,Uttar Pradesh
0512,0458,Mirzapur Handmade Dari,Registered,Handicraft,Uttar Pradesh
0513,0459,Nizamabad Black Clay Pottery,Registered,Handicraft,Uttar Pradesh
0514,0555,Ghazipur Wall Hanging,Registered,Handicraft,Uttar Pradesh
0515,0556,Varanasi Soft Stone Jali Work,Registered,Handicraft,Uttar Pradesh
0516,0619,Gorakhpur Terracotta,Registered,Handicraft,Uttar Pradesh
0517,0620,Banaras Zardozi,Registered,Handicraft,Uttar Pradesh
0518,0621,Chunar Glaze Pottery,Registered,Handicraft,Uttar Pradesh
0519,0622,Mirzapur Pital Bartan,Registered,Handicraft,Uttar Pradesh
0520,0623,Banaras Wood Carving,Registered,Handicraft,Uttar Pradesh
0521,0624,Banaras Hand Block Print,Registered,Handicraft,Uttar Pradesh
0522,0645,Mau Saree,Registered,Handicraft,Uttar Pradesh
0523,0664,Aligarh Tala,Registered,Handicraft,Uttar Pradesh
0524,0665,Bakhira Brassware,Registered,Handicraft,Uttar Pradesh
0525,0666,Banda Shazar Patthar craft,Registered,Handicraft,Uttar Pradesh
0526,0667,Nagina Wood Craft,Registered,Handicraft,Uttar Pradesh
0527,0671,Mahoba Gaura Patthar Hastashlip,Registered,Handicraft,Uttar Pradesh
0528,0673,Mainpuri Tarkashi,Registered,Handicraft,Uttar Pradesh
0529,0674,Sambhal Horn Craft,Registered,Handicraft,Uttar Pradesh
0530,0670,Amroha Dholak,Registered,Handicraft,Uttar Pradesh
0531,0731,Baghpat Home Furnishings,Registered,Handicraft,Uttar Pradesh
0532,0732,Barabanki Handloom Product,Registered,Handicraft,Uttar Pradesh
0533,0733,Kalpi Handmade Paper,Registered,Handicraft,Uttar Pradesh
0534,0722,Jalesar Dhatu Shilp (Metal Craft),Registered,Handicraft,Uttar Pradesh
0535,0677,Patchwork of Rampur,Registered,Handicraft,Uttar pradesh
0536,0818,Mathura Sanjhi Craft,Registered,Handicraft,Uttar pradesh
0537,0822,Banaras Tabla,Registered,Handicraft,Uttar pradesh
0538,0824,Pilibhit Bansuri,Registered,Handicraft,Uttar pradesh
0539,0924,Banaras Shehnai,Registered,Handicraft,Uttar pradesh
0540,0930,Sambhal Bone Craft,Registered,Handicraft,Uttar pradesh
0541,0933,Moonj Craft of Uttar Pradesh,Registered,Handicraft,Uttar pradesh
0542,0936,Chitrakoot Wooden Craft & Toys,Registered,Handicraft,Uttar pradesh
0543,1033,Banaras Mural Painting,Registered,Handicraft,Uttar pradesh
0544,0820,Pilkhuwa Hand Block Print Textile,Registered,Handicraft,Uttar pradesh
0545,0923,Banaras Metal Casting Craft,Registered,Handicraft,Uttar pradesh
0546,0926,Bareilly Cane & Bamboo Craft,Registered,Handicraft,Uttar pradesh
0547,0928,Tharu Embroidery of Uttar Pradesh,Registered,Handicraft,Uttar pradesh
0548,0929,Bareilly Zari Zardoji,Registered,Handicraft,Uttar pradesh
0549,157 & 158,Kannauj Perfume (Logo),Registered,Manufactured,Uttar Pradesh
0550,0389,Meerut Scissors,Registered,Manufactured,Uttar Pradesh
0551,0721,Agra Leather Footwear,Registered,Manufactured,Uttar Pradesh
0552,0557,Chunar Balua Patthar,Registered,Natural,Uttar Pradesh
0553,0520,Uttarakhand Tejpat,Registered,Agricultural,Uttarakhand
0554,0650,Kumaon Chyura Oil,Registered,Agricultural,Uttarakhand
0555,0651,Munsyari Rajma,Registered,Agricultural,Uttarakhand
0556,0829,Uttarakhand Berinag Tea,Registered,Agricultural,Uttarakhand
0557,0835,Uttarakhand Mandua,Registered,Agricultural,Uttarakhand
0558,0841,Uttarakhand Jhangora,Registered,Agricultural,Uttarakhand
0559,0844,Uttarakhand Gahat,Registered,Agricultural,Uttarakhand
0560,0852,Uttarakhand Lal Chawal (Red Rice),Registered,Agricultural,Uttarakhand
0561,0856,Uttarakhand Kala Bhat,Registered,Agricultural,Uttarakhand
0562,0860,Uttarakhand Malta Fruit,Registered,Agricultural,Uttarakhand
0563,0863,Uttarakhand Chaulai (Ramdana),Registered,Agricultural,Uttarakhand
0564,0864,Almora Lakhori Mirchi,Registered,Agricultural,Uttarakhand
0565,0867,Uttarakhand Pahari Toor Dal,Registered,Agricultural,Uttarakhand
0566,0905,Ramnagar Nainital Litchi,Registered,Agricultural,Uttarakhand
0567,0907,Ramgarh Nainital Aadu (Peach),Registered,Agricultural,Uttarakhand
0568,0589,Bhotia Dann of Uttarakhand,Registered,Handicraft,Uttarakhand
0569,0648,Uttarakhand Aipan,Registered,Handicraft,Uttarakhand
0570,0652,Uttarakhand Ringal Craft,Registered,Handicraft,Uttarakhand
0571,0653,Uttarakhand Tamta Product,Registered,Handicraft,Uttarakhand
0572,0654,Uttarakhand Thulma,Registered,Handicraft,Uttarakhand
0573,0832,Uttarakhand Bichhu Buti (Nettle) Fabrics,Registered,Handicraft,Uttarakhand
0574,0874,Rangwali Pichhoda of Kumaon,Registered,Handicraft,Uttarakhand
0575,0918,Chamoli Wooden Ramman Mask,Registered,Handicraft,Uttarakhand
0576,0919,Uttarakhand Likhai (Wood Carving),Registered,Handicraft,Uttarakhand
0577,0866,Uttarakhand Buransh,Registered,Food Stuff,Uttarakhand
0578,0873,Nainital Mombatti (Candle),Registered,Manufactured,Uttarakhand
0579,1 & 2,Darjeeling Tea (word & Logo),Registered,Agricultural,West Bengal
0580,0111,Malda Laxman Bhog Mango,Registered,Agricultural,West Bengal
0581,0112,Malda Khirsapati (Himsagar) Mango,Registered,Agricultural,West Bengal
0582,0113,Malda Fazli Mango,Registered,Agricultural,West Bengal
0583,0530,Tulaipanji Rice,Registered,Agricultural,West Bengal
0584,0531,Gobindabhog Rice,Registered,Agricultural,West Bengal
0585,0743,Kalonunia Rice,Registered,Agricultural,West Bengal
0586,0525,Bardhaman Sitabhog,Registered,Food Stuff,West Bengal
0587,0526,Bardhaman Mihidana,Registered,Food Stuff,West Bengal
0588,0533,Banglar Rasogolla,Registered,Food Stuff,West Bengal
0589,0769,Sundarban Honey,Registered,Food Stuff,West Bengal
0590,0052,Nakshi Kantha,Registered,Handicraft,West Bengal
0591,0104,Santiniketan Leather Goods,Registered,Handicraft,West Bengal
0592,0138,Santipore Saree,Registered,Handicraft,West Bengal
0593,0173,Baluchari Saree,Registered,Handicraft,West Bengal
0594,0176,Dhaniakhali Saree,Registered,Handicraft,West Bengal
0595,0453,Bankura Panchmura Terracotta Craft,Registered,Handicraft,West Bengal
0596,0563,Bengal Dokra,Registered,Handicraft,West Bengal
0597,0564,Bengal Patachitra,Registered,Handicraft,West Bengal
0598,0565,Purulia Chau Mask,Registered,Handicraft,West Bengal
0599,0566,Wooden Mask of Kushmandi,Registered,Handicraft,West Bengal
0600,0567,Madurkathi,Registered,Handicraft,West Bengal
0601,0702,Tangail Saree of Bengal,Registered,Handicraft,West Bengal
0602,0703,Garad Saree,Registered,Handicraft,West Bengal
0603,0704,Korial saree,Registered,Handicraft,West Bengal
0604,0676,Banglar Muslin,Registered,Handicraft,West Bengal
0605,0382,Joynagar Moa,Registered,Food Stuff,West Bengal
