Sn.,Application no,Product,Goods,State
127,23,Channapatna Toys & Dolls ,Handicraft ,Karnataka 
128,26,Coimbatore Wet Grinder ,Manufactured ,Tamil Nadu 
129,24,Mysore Rosewood Inlay ,Handicraft ,Karnataka 
130,31,Kasuti Embroidery ,Handicraft ,Karnataka 
131,32,Mysore Traditional Paintings ,Handicraft ,Karnataka 
132,29,Mysore Sandalwood Oil ,Manufactured ,Karnataka 
133,30,Mysore Sandal soap ,Manufactured ,Karnataka 
134,,,1,
135,7,Chanderi Sarees ,Handicraft ,Madhya Pradesh 
136,28,Srikalahasthi Kalamkari ,Handicraft ,Andhra Pradesh 
137,22,Orissa Ikat ,Handicraft ,Odisha 
138,44,Kondapalli Bommallu ,Handicraft ,Andhra Pradesh 
139,,FROM APRIL 2007 ? MARCH 2008 ,,
140,37,Madhubani Paintings ,Handicraft ,Bihar 
141,47,Thanjavur Paintings ,Handicraft ,Tamil Nadu 
142,53,Silver Filigree of Karimnagar ,Handicraft ,Telangana 
143,54,Alleppey Coir ,Handicraft ,Kerala 
144,69,Mysore Malligae ,Agricultural ,Karnataka 
145,70,Udupi Malligae ,Agricultural ,Karnataka 
146,,FROM APRIL 2005 ? MARCH 2006 ,,
147,71,Hadagali Malligae ,Agricultural ,Karnataka 
148,55,Muga Silk of Assam ,Handicraft ,Assam 
149,,Temple Jewellery of,,
150,65,,Handicraft ,Tamil Nadu 
151,,Nagercoil ,,
152,17,Navara Rice ,Agricultural ,Kerala 
153,36,Palakkadan Matta Rice ,Agricultural ,Kerala 
154,63,Thanjavur Art Plate ,Handicraft ,Tamil Nadu 
155,76,Ilkal Sarees ,Handicraft ,Karnataka 
156,,Applique (Khatwa) Work of ,,
157,10,Kotpad Handloom fabric ,Handicraft ,Odisha 
158,73,,Handicraft ,Bihar 
159,,Bihar ,,
160,,Sujini Embroidery Work of,,
161,74,,Handicraft ,Bihar 
162,,Bihar ,,
163,,Sikki Grass Products of,,
164,75,,Handicraft ,Bihar 
165,,Bihar ,,
166,,,,India 
167,56,Malabar Pepper ,Agricultural ,
168,15,Kancheepuram Silk ,Handicraft ,Tamil Nadu 
169,,,,"(Kerala, Karnataka & Tamilnadu) "
170,50,Allahabad Surkha Guava ,Agricultural ,Uttar Pradesh 
171,52,Nakshi Kantha ,Handicraft ,West Bengal 
172,60,Ganjifa Cards of Mysore ,Handicraft ,Karnataka 
173,61,Navalgund Durries ,Handicraft ,Karnataka 
174,62,Karnataka Bronzeware ,Handicraft ,Karnataka 
175,77,Molakalmuru Sarees ,Handicraft ,Karnataka 
176,78,Monsooned Malabar Arabica,Agricultural ,India 
177,85,,,
178,86,Coffee ,, (Karnataka & Kerala) 
179,18,Mysore Agarbathi ,Manufactured ,Karnataka 
180,87,Monsooned Malabar,Agricultural ,India 
181,114,,,
182,115,Robusta Coffee ,, (Karnataka & Kerala) 
183,116,Salem Silk known as Salem,,
184,94,,Handicraft ,Tamil Nadu 
185,95,Venpattu ,,
186,96,,2,
187,93,Kovai Kora Cotton Sarees ,Handicraft ,Tamil Nadu 
188,92,Arani Silk ,Handicraft ,Tamil Nadu 
189,93,,,India 
190,12,Kota Doria ,Handicraft ,Rajasthan 
191,72,Alleppey Green Cardamom ,Agricultural ,
192,73,,,(Kerala & Tamilnadu) 
